,,,,
Section,Item,Type,Codelist,XML
,ref,xsd:string,,iati-activities/iati-activity/transaction/provider-org/@ref
,provider-activity-id,xsd:string,,iati-activities/iati-activity/transaction/provider-org/@provider-activity-id
,type,xsd:string,Organisation Type,iati-activities/iati-activity/transaction/provider-org/@type
,narrative,,,iati-activities/iati-activity/transaction/provider-org/narrative
,,xsd:string,,iati-activities/iati-activity/transaction/provider-org/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/transaction/provider-org/narrative/@xml:lang
,receiver-org,,,iati-activities/iati-activity/transaction/receiver-org
,ref,xsd:string,,iati-activities/iati-activity/transaction/receiver-org/@ref
,receiver-activity-id,xsd:string,,iati-activities/iati-activity/transaction/receiver-org/@receiver-activity-id
,type,xsd:string,Organisation Type,iati-activities/iati-activity/transaction/receiver-org/@type
,narrative,,,iati-activities/iati-activity/transaction/receiver-org/narrative
,,xsd:string,,iati-activities/iati-activity/transaction/receiver-org/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/transaction/receiver-org/narrative/@xml:lang
,disbursement-channel,,,iati-activities/iati-activity/transaction/disbursement-channel
,code,xsd:string,Disbursement Channel,iati-activities/iati-activity/transaction/disbursement-channel/@code
,sector,,,iati-activities/iati-activity/transaction/sector
,vocabulary,xsd:string,Sector Vocabulary,iati-activities/iati-activity/transaction/sector/@vocabulary
,vocabulary-uri,xsd:anyURI,,iati-activities/iati-activity/transaction/sector/@vocabulary-uri
,code,xsd:string,(DAC 5 Digit Sector)(DAC 3 Digit Sector)(UN Sustainable Development Goals (SDG))(UN Sustainable Development Goals (SDG) Targets),iati-activities/iati-activity/transaction/sector/@code
,narrative,,,iati-activities/iati-activity/transaction/sector/narrative
,,xsd:string,,iati-activities/iati-activity/transaction/sector/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/transaction/sector/narrative/@xml:lang
,recipient-country,,,iati-activities/iati-activity/transaction/recipient-country
,code,xsd:string,Country,iati-activities/iati-activity/transaction/recipient-country/@code
,narrative,,,iati-activities/iati-activity/transaction/recipient-country/narrative
,,xsd:string,,iati-activities/iati-activity/transaction/recipient-country/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/transaction/recipient-country/narrative/@xml:lang
,recipient-region,,,iati-activities/iati-activity/transaction/recipient-region
,code,xsd:string,(Region),iati-activities/iati-activity/transaction/recipient-region/@code
,vocabulary,xsd:string,Region Vocabulary,iati-activities/iati-activity/transaction/recipient-region/@vocabulary
,vocabulary-uri,xsd:anyURI,,iati-activities/iati-activity/transaction/recipient-region/@vocabulary-uri
,narrative,,,iati-activities/iati-activity/transaction/recipient-region/narrative
,,xsd:string,,iati-activities/iati-activity/transaction/recipient-region/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/transaction/recipient-region/narrative/@xml:lang
,flow-type,,,iati-activities/iati-activity/transaction/flow-type
,code,xsd:string,Flow Type,iati-activities/iati-activity/transaction/flow-type/@code
,finance-type,,,iati-activities/iati-activity/transaction/finance-type
,code,xsd:string,Finance Type,iati-activities/iati-activity/transaction/finance-type/@code
,aid-type,,,iati-activities/iati-activity/transaction/aid-type
,code,xsd:string,(Aid Type)(Earmarking Category)(Cash and Voucher Modalities),iati-activities/iati-activity/transaction/aid-type/@code
,vocabulary,xsd:string,Aid Type Vocabulary,iati-activities/iati-activity/transaction/aid-type/@vocabulary
,tied-status,,,iati-activities/iati-activity/transaction/tied-status
,code,xsd:string,Tied Status,iati-activities/iati-activity/transaction/tied-status/@code
document-link,,,,iati-activities/iati-activity/document-link
,url,xsd:anyURI,,iati-activities/iati-activity/document-link/@url
,format,xsd:string,File Format,iati-activities/iati-activity/document-link/@format
,title,,,iati-activities/iati-activity/document-link/title
,narrative,,,iati-activities/iati-activity/document-link/title/narrative
,,xsd:string,,iati-activities/iati-activity/document-link/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/document-link/title/narrative/@xml:lang
,description,,,iati-activities/iati-activity/document-link/description
,narrative,,,iati-activities/iati-activity/document-link/description/narrative
,,xsd:string,,iati-activities/iati-activity/document-link/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/document-link/description/narrative/@xml:lang
,category,,,iati-activities/iati-activity/document-link/category
,code,xsd:string,Document Category,iati-activities/iati-activity/document-link/category/@code
,language,,,iati-activities/iati-activity/document-link/language
,code,xsd:string,Language,iati-activities/iati-activity/document-link/language/@code
,document-date,,,iati-activities/iati-activity/document-link/document-date
,iso-date,xsd:date,,iati-activities/iati-activity/document-link/document-date/@iso-date
related-activity,,,,iati-activities/iati-activity/related-activity
,ref,xsd:string,,iati-activities/iati-activity/related-activity/@ref
,type,xsd:string,Related Activity Type,iati-activities/iati-activity/related-activity/@type
legacy-data,,,,iati-activities/iati-activity/legacy-data
,name,xsd:string,,iati-activities/iati-activity/legacy-data/@name
,value,xsd:string,,iati-activities/iati-activity/legacy-data/@value
,iati-equivalent,xsd:NMTOKEN,,iati-activities/iati-activity/legacy-data/@iati-equivalent
conditions,,,,iati-activities/iati-activity/conditions
,attached,xsd:boolean,,iati-activities/iati-activity/conditions/@attached
,condition,,,iati-activities/iati-activity/conditions/condition
,type,xsd:string,Condition Type,iati-activities/iati-activity/conditions/condition/@type
,narrative,,,iati-activities/iati-activity/conditions/condition/narrative
,,xsd:string,,iati-activities/iati-activity/conditions/condition/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/conditions/condition/narrative/@xml:lang
result,,,,iati-activities/iati-activity/result
,type,xsd:string,Result Type,iati-activities/iati-activity/result/@type
,aggregation-status,xsd:boolean,,iati-activities/iati-activity/result/@aggregation-status
,title,,,iati-activities/iati-activity/result/title
,narrative,,,iati-activities/iati-activity/result/title/narrative
,,xsd:string,,iati-activities/iati-activity/result/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/title/narrative/@xml:lang
,description,,,iati-activities/iati-activity/result/description
,narrative,,,iati-activities/iati-activity/result/description/narrative
,,xsd:string,,iati-activities/iati-activity/result/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/description/narrative/@xml:lang
,document-link,,,iati-activities/iati-activity/result/document-link
,url,xsd:anyURI,,iati-activities/iati-activity/result/document-link/@url
,format,xsd:string,File Format,iati-activities/iati-activity/result/document-link/@format
,title,,,iati-activities/iati-activity/result/document-link/title
,narrative,,,iati-activities/iati-activity/result/document-link/title/narrative
,,xsd:string,,iati-activities/iati-activity/result/document-link/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/document-link/title/narrative/@xml:lang
,description,,,iati-activities/iati-activity/result/document-link/description
,narrative,,,iati-activities/iati-activity/result/document-link/description/narrative
,,xsd:string,,iati-activities/iati-activity/result/document-link/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/document-link/description/narrative/@xml:lang
,category,,,iati-activities/iati-activity/result/document-link/category
,code,xsd:string,Document Category,iati-activities/iati-activity/result/document-link/category/@code
,language,,,iati-activities/iati-activity/result/document-link/language
,code,xsd:string,Language,iati-activities/iati-activity/result/document-link/language/@code
,document-date,,,iati-activities/iati-activity/result/document-link/document-date
,iso-date,xsd:date,,iati-activities/iati-activity/result/document-link/document-date/@iso-date
,reference,,,iati-activities/iati-activity/result/reference
,code,xsd:string,,iati-activities/iati-activity/result/reference/@code
,vocabulary,xsd:string,Result Vocabulary,iati-activities/iati-activity/result/reference/@vocabulary
,vocabulary-uri,xsd:anyURI,,iati-activities/iati-activity/result/reference/@vocabulary-uri
,indicator,,,iati-activities/iati-activity/result/indicator
,measure,xsd:string,Indicator Measure,iati-activities/iati-activity/result/indicator/@measure
,ascending,xsd:boolean,,iati-activities/iati-activity/result/indicator/@ascending
,aggregation-status,xsd:boolean,,iati-activities/iati-activity/result/indicator/@aggregation-status
,title,,,iati-activities/iati-activity/result/indicator/title
,narrative,,,iati-activities/iati-activity/result/indicator/title/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/title/narrative/@xml:lang
,description,,,iati-activities/iati-activity/result/indicator/description
,narrative,,,iati-activities/iati-activity/result/indicator/description/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/description/narrative/@xml:lang
,document-link,,,iati-activities/iati-activity/result/indicator/document-link
,url,xsd:anyURI,,iati-activities/iati-activity/result/indicator/document-link/@url
,format,xsd:string,File Format,iati-activities/iati-activity/result/indicator/document-link/@format
,title,,,iati-activities/iati-activity/result/indicator/document-link/title
,narrative,,,iati-activities/iati-activity/result/indicator/document-link/title/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/document-link/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/document-link/title/narrative/@xml:lang
,description,,,iati-activities/iati-activity/result/indicator/document-link/description
,narrative,,,iati-activities/iati-activity/result/indicator/document-link/description/narrative
,,xsd:string,,iati-activities/iati-activity/result/indicator/document-link/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/result/indicator/document-link/description/narrative/@xml:lang
,category,,,iati-activities/iati-activity/result/indicator/document-link/category
