Type,Proposed IATIPlus Fields,Labels,Properties
,PlannedDisbursementProviderOrgNarrative_Lang,,PlannedDisbursementProviderOrgNarrative_Lang
,PlannedDisbursementReceiverOrg,PlannedDisbursementReceiverOrg,
,PlannedDisbursementReceiverOrg_Ref,,PlannedDisbursementReceiverOrg_Ref
,PlannedDisbursementReceiverOrg_ReceiverActivityId,,PlannedDisbursementReceiverOrg_ReceiverActivityId
,PlannedDisbursementReceiverOrg_Type,,PlannedDisbursementReceiverOrg_Type
,PlannedDisbursementReceiverOrgNarrative,PlannedDisbursementReceiverOrgNarrative,
,PlannedDisbursementReceiverOrgNarrative_Text,,PlannedDisbursementReceiverOrgNarrative_Text
,PlannedDisbursementReceiverOrgNarrative_Lang,,PlannedDisbursementReceiverOrgNarrative_Lang
,CapitalSpend,CapitalSpend,
,CapitalSpend_Percentage,,CapitalSpend_Percentage
,Transaction,Transaction,
,Transaction_Ref,,Transaction_Ref
,Transaction_Humanitarian,,Transaction_Humanitarian
,TransactionTransactionType,TransactionTransactionType,
,TransactionTransactionType_Code,,TransactionTransactionType_Code
,TransactionTransactionDate,TransactionTransactionDate,
,TransactionTransactionDate_IsoDate,,TransactionTransactionDate_IsoDate
,TransactionValue,TransactionValue,
,TransactionValue_Currency,,TransactionValue_Currency
,TransactionValue_ValueDate,,TransactionValue_ValueDate
,TransactionValue_Text,,TransactionValue_Text
,TransactionDescription,TransactionDescription,
,TransactionDescriptionNarrative,TransactionDescriptionNarrative,
,TransactionDescriptionNarrative_Text,,TransactionDescriptionNarrative_Text
,TransactionDescriptionNarrative_Lang,,TransactionDescriptionNarrative_Lang
,TransactionProviderOrg,TransactionProviderOrg,
,TransactionProviderOrg_Ref,,TransactionProviderOrg_Ref
,TransactionProviderOrg_ProviderActivityId,,TransactionProviderOrg_ProviderActivityId
,TransactionProviderOrg_Type,,TransactionProviderOrg_Type
,TransactionProviderOrgNarrative,TransactionProviderOrgNarrative,
,TransactionProviderOrgNarrative_Text,,TransactionProviderOrgNarrative_Text
,TransactionProviderOrgNarrative_Lang,,TransactionProviderOrgNarrative_Lang
,TransactionReceiverOrg,TransactionReceiverOrg,
,TransactionReceiverOrg_Ref,,TransactionReceiverOrg_Ref
,TransactionReceiverOrg_ReceiverActivityId,,TransactionReceiverOrg_ReceiverActivityId
,TransactionReceiverOrg_Type,,TransactionReceiverOrg_Type
,TransactionReceiverOrgNarrative,TransactionReceiverOrgNarrative,
,TransactionReceiverOrgNarrative_Text,,TransactionReceiverOrgNarrative_Text
,TransactionReceiverOrgNarrative_Lang,,TransactionReceiverOrgNarrative_Lang
,TransactionDisbursementChannel,TransactionDisbursementChannel,
,TransactionDisbursementChannel_Code,,TransactionDisbursementChannel_Code
,TransactionSector,TransactionSector,
,TransactionSector_Vocabulary,,TransactionSector_Vocabulary
,TransactionSector_VocabularyUri,,TransactionSector_VocabularyUri
,TransactionSector_Code,,TransactionSector_Code
,TransactionSectorNarrative,TransactionSectorNarrative,
,TransactionSectorNarrative_Text,,TransactionSectorNarrative_Text
,TransactionSectorNarrative_Lang,,TransactionSectorNarrative_Lang
,TransactionRecipientCountry,TransactionRecipientCountry,
,TransactionRecipientCountry_Code,,TransactionRecipientCountry_Code
,TransactionRecipientCountryNarrative,TransactionRecipientCountryNarrative,
,TransactionRecipientCountryNarrative_Text,,TransactionRecipientCountryNarrative_Text
,TransactionRecipientCountryNarrative_Lang,,TransactionRecipientCountryNarrative_Lang
,TransactionRecipientRegion,TransactionRecipientRegion,
,TransactionRecipientRegion_Code,,TransactionRecipientRegion_Code
,TransactionRecipientRegion_Vocabulary,,TransactionRecipientRegion_Vocabulary
,TransactionRecipientRegion_VocabularyUri,,TransactionRecipientRegion_VocabularyUri
,TransactionRecipientRegionNarrative,TransactionRecipientRegionNarrative,
,TransactionRecipientRegionNarrative_Text,,TransactionRecipientRegionNarrative_Text
,TransactionRecipientRegionNarrative_Lang,,TransactionRecipientRegionNarrative_Lang
,TransactionFlowType,TransactionFlowType,
